Famous Person,Born,Died
Ronald Reagan,1911,2004
Adolf Hitler,1889,1945
Carl Linnaeus,1707,1778
John F. Kennedy,1917,1963
Abraham Lincoln,1809,1865
Franklin D. Roosevelt,1882,1945
Winston Churchill,1874,1965
Pope John Paul II,1920,2005
Queen Victoria,1819,1901
Richard Nixon,1913,1994
George Washington,1732,1799
Frank Sinatra,1915,1998
Napoleon,1769,1821
Sidney Lee,1859,1926
Joseph Stalin,1878,1953
Theodore Roosevelt,1858,1919
Jimmy Carter,1924,2010
Dwight D. Eisenhower,1890,1969
Thomas Jefferson,1743,1826
Nikolaus Pevsner,1902,1983
George H. W. Bush,1924,2010
Lyndon B. Johnson,1908,1973
Woodrow Wilson,1856,1924
Wolfgang Amadeus Mozart,1756,1791
Mahatma Gandhi,1869,1948
Johann Sebastian Bach,1685,1750
Karl Marx,1818,1883
Margaret Thatcher,1925,2013
Ulysses S. Grant,1822,1885
Albert Einstein,1879,1955
Benito Mussolini,1883,1945
Charles Darwin,1809,1882
Charles Dickens,1812,1870
Ludwig van Beethoven,1770,1827
Harry S. Truman,1884,1972
Walt Disney,1901,1966
Walther-Peer Fellgiebel,1918,2001
Gerald Ford,1913,2006
Edward Meyrick,1854,1938
Richard Wagner,1813,1883
Duke Ellington,1899,1974
Pope Paul VI,1897,1978
Benjamin Franklin,1706,1790
Leslie Stephen,1832,1904
Sigmund Freud,1856,1939
Nelson Mandela,1918,2013
William Smith (lexicographer),1813,1893
Leo Tolstoy,1828,1910
Andrew Jackson,1767,1845
Immanuel Kant,1724,1804
Jackie Robinson,1919,1972
Mao Zedong,1893,1976
George Gershwin,1898,1937
B. R. Ambedkar,1891,1956
Edgar Allan Poe,1809,1849
Bing Crosby,1903,1977
Mark Twain,1835,1910
Isaac Newton,1642,1727
Francisco Franco,1892,1975
Alfred Hitchcock,1899,1980
Charlie Chaplin,1889,1977
Pope Pius XII,1876,1958
George Bernard Shaw,1856,1950
J. J. Colledge,1908,1997
Vladimir Lenin,1870,1924
Ella Fitzgerald,1917,1996
Oscar Wilde,1854,1900
George III of the United Kingdom,1738,1820
Robert E. Lee,1807,1870
Herbert Hoover,1874,1964
Orson Welles,1915,1985
Stan Lee,1922,2010
Voltaire,1694,1778
Giuseppe Verdi,1813,1901
Bertrand Russell,1872,1970
Pablo Picasso,1881,1973
Friedrich Nietzsche,1844,1900
Arthur Wellesley 1st Duke of,1769,1852
George Hampson,1860,1936
Louis Armstrong,1901,1971
Richard Rodgers,1902,1979
James Joyce,1882,1941
Jawaharlal Nehru,1889,1964
William III of England,1650,1702
Ernest Hemingway,1899,1961
Franz Liszt,1811,1886
George V,1865,1936
George Albert Boulenger,1858,1937
Grover Cleveland,1837,1908
Bob Hope,1903,2003
Pope Pius XI,1857,1939
Laurence Olivier,1907,1989
Igor Stravinsky,1882,1971
Nikita Khrushchev,1894,1971
Pope Leo XIII,1810,1903
Leonard Bernstein,1918,1990
Babe Ruth,1895,1948
J. R. R. Tolkien,1892,1973
William McKinley,1843,1901
Cole Porter,1891,1964
David Hume,1711,1776
Judy Garland,1922,1969
Charles de Gaulle,1890,1970
Heinrich Himmler,1900,1945
William Howard Taft,1857,1930
Pope John XXIII,1881,1963
Johnny Mercer,1909,1976
John Wayne,1907,1979
Richard Strauss,1864,1949
Irving Berlin,1888,1989
Prince Philip Duke of Edinburgh,1921,2010
Rabindranath Tagore,1861,1941
Calvin Coolidge,1872,1933
Johann Wolfgang von Goethe,1749,1832
James Madison,1751,1836
James Cook,1728,1779
Edward VII,1841,1910
Rudyard Kipling,1865,1936
Nikola Tesla,1856,1943
Franz Schubert,1797,1828
Alexander Graham Bell,1847,1922
John Adams,1735,1826
Frédéric Chopin,1810,1849
Victor Hugo,1802,1885
William Ewart Gladstone,1809,1898
Dizzy Gillespie,1917,1993
Douglas MacArthur,1880,1964
Pyotr Ilyich Tchaikovsky,1840,1893
Jack Kirby,1917,1994
Henry Kissinger,1923,2010
Josip Broz Tito,1892,1980
Pope Pius X,1835,1914
George VI,1895,1952
Jean-Jacques Rousseau,1712,1778
Henry David Thoreau,1817,1862
Felix Mendelssohn,1809,1847
Billie Holiday,1915,1959
John Quincy Adams,1767,1848
T. S. Eliot,1888,1965
Stephan von Breuning (entomologist),1894,1983
David Lloyd George,1863,1945
Sri Aurobindo,1872,1950
Count Basie,1904,1984
Indira Gandhi,1917,1984
Benjamin Britten,1913,1976
Bertolt Brecht,1898,1956
Guglielmo Marconi,1874,1937
Fred Astaire,1899,1987
George Frideric Handel,1685,1759
Isaac Asimov,1920,1992
Paul Newman,1925,2008
Johannes Brahms,1833,1897
Robert Schumann,1810,1856
Frank Lloyd Wright,1867,1959
John Stuart Mill,1806,1873
Hermann Göring,1893,1946
William Blake,1757,1827
Leon Trotsky,1879,1940
Erwin Rommel,1891,1944
Francis Walker (entomologist),1809,1874
Oscar Hammerstein II,1895,1960
Eleanor Roosevelt,1884,1962
Samuel Beckett,1906,1989
Adam Smith,1723,1790
Andrew Johnson,1808,1875
Henry Mancini,1924,1994
Kurt Aland,1915,1994
Satyajit Ray,1921,1992
Ira Gershwin,1896,1983
George Orwell,1903,1950
George IV of the United Kingdom,1762,1830
George B. McClellan,1826,1885
Walter Scott,1771,1832
Joseph Goebbels,1897,1945
Swami Vivekananda,1863,1902
Dayananda Saraswati,1824,1883
Napoleon III,1808,1873
Patrick Moore,1923,2012
Karl Dönitz,1891,1980
H. G. Wells,1866,1946
Thomas Edison,1847,1931
Henrik Ibsen,1828,1906
William Morris,1834,1896
Joseph Haydn,1732,1809
Lord Byron,1788,1824
Pope Pius IX,1792,1878
James Stewart,1908,1997
Noël Coward,1899,1973
Thurgood Marshall,1908,1993
Salvador Dalí,1904,1989
George II of Great Britain,1683,1760
Arthur Conan Doyle,1859,1930
James Monroe,1758,1831
Frederick Douglass,1818,1895
Milton Friedman,1912,2006
Harold Wilson,1916,1995
Chiang Kai-shek,1887,1975
Anton Chekhov,1860,1904
Jean-Paul Sartre,1905,1980
Joe DiMaggio,1914,1999
Dean Martin,1917,1995
Anne Queen of Great Britain,1665,1714
Georg Wilhelm Friedrich Hegel,1770,1831
Robert Louis Stevenson,1850,1894
Katharine Hepburn,1907,2003
Martin Van Buren,1782,1862
Carl Jung,1875,1961
Claude Debussy,1862,1918
Ramakrishna,1836,1886
Warren G. Harding,1865,1923
Gene Roddenberry,1921,1991
Benny Goodman,1909,1986
Lewis Carroll,1832,1898
Nat King Cole,1919,1965
Byron White,1917,2002
Caspar René Gregory,1846,1917
Lucille Ball,1911,1989
Robert Burns,1759,1796
Bette Davis,1908,1989
John Cage,1912,1992
William B. Eerdmans Publishing Company,1882,1966
H. P. Lovecraft,1890,1937
Hank Williams,1923,1953
John Paul Stevens,1920,2010
Malcolm X,1925,1965
Samuel Johnson,1709,1784
Léon Degrelle,1906,1994
Vincent van Gogh,1853,1890
Friedrich Schiller,1759,1805
Narayana Guru,1854,1928
Otto von Bismarck,1815,1898
Marlon Brando,1924,2004
William Rehnquist,1924,2005
Alexander I of Russia,1777,1825
Jerome Kern,1885,1945
James Buchanan,1791,1868
B.B. King,1925,2015
Vladimir K. Zworykin,1888,1982
Angela Lansbury,1925,2010
Ayn Rand,1905,1982
Agatha Christie,1890,1976
William James,1842,1910
Thelonious Monk,1917,1982
Pierre Trudeau,1919,2000
Louis Mountbatten 1st Earl Mountbatten,1900,1979
Ralph Waldo Emerson,1803,1882
Dmitri Shostakovich,1906,1975
Asa Gray,1810,1888
Peter the Great,1672,1725
Thomas Paine,1737,1809
Daniel Coit Gilman,1831,1908
Johan Christian Fabricius,1745,1808
Thomas William Webb,1807,1885
Robert F. Kennedy,1925,1968
Lou Gehrig,1903,1941
Louis XVI of France,1754,1793
Gustav Mahler,1860,1911
Joseph Smith,1805,1844
Robert Altman,1925,2006
Deng Xiaoping,1904,1997
Michael Pössinger,1919,2003
Harold Arlen,1905,1986
Giacomo Puccini,1858,1924
Albert Günther,1830,1914
Franz Joseph I of Austria,1830,1916
Jonathan Swift,1667,1745
Nicholas II of Russia,1868,1918
Samuel Taylor Coleridge,1772,1834
John Gielgud,1904,2000
Sergei Prokofiev,1891,1953
Atal Bihari Vajpayee,1924,2010
Jagadish Chandra Bose,1858,1937
Maurice Ravel,1875,1937
William Tecumseh Sherman,1820,1891
Arnold Schoenberg,1874,1951
Louis XVIII of France,1755,1824
Edmund Burke,1729,1797
Tennessee Williams,1911,1983
Ray Bradbury,1920,2012
Akira Kurosawa,1910,1998
Ted Williams,1918,2002
John C. Frémont,1813,1890
David Ben-Gurion,1886,1973
Ludwig Wittgenstein,1889,1951
Marie Antoinette,1755,1793
